Username;Comment
call_me_kimii;رم #mahsaamini  ولی وسیله ندارم
soufisina;❤️👏دم شما گرم
yek_gane1996;از آمستردام هلند
sahar.banaeiii;Kasi az paris mire?
shafiansanaz;ما بچه های امریکا میتونیم کمک‌مالی کنیم که برن بچه های اروپا
avale.mehr;اتوبوس بگیرید تو راه هم همش شادی کنید برای رویای آزادی و آهنگ بخونید.کلی جای ما را خالی کنید❤️❤️❤️❤️
english.with.kimmy;من دوستم گفت از طرفش بنویسم از خود برلین میره🕊️✌️
idlef;گوتنبرگ سوئد
elahe.a_mehr;امیدوارم قراره بعدی هممون میدون ازادی باشه✌🏻✌🏻✌🏻✌🏻🤍#مهسا_امینی #زن_زندگی_آزادی 🤍🤍🤍
taraneh_sn;منم دانشجوی ایتالیا هستم، ماشین ندارم
aliasgsotoudeh_nk;👏👏🔥
sarva2561;هلند
merikcake;دمتون گرم واقعا قوت قلب مایید ❤
matin_rouhi.pv;Rotterdam, the Netherlands. 🇳🇱 کسی هست لطف کنه من رو ببره؟ 🥹
katja.gholami;من دانمارک هستم
melika_anil;@taraneh_sn یکی آمریکا گفته کمک مالی می کنه
zeesoori;ما از هامبورگ میریم کسی بود خبر بده، فعلا ۳،۴ نفر قطعی اند و یه ماشین، اگه بیشتر بشیم ماشین دوم هم آماده میکنیم
adineh_08;دم همتون گرم که خارج از ایران صدامون هستین، ما هم داریم داخل تلاشمونو میکنیم، ولی بدونین واسمون قوت قلبین❤️❤️ #mahsaamini
_solmaz.hsh_;من خودم برلینم وبا یه اکیپ بزرگ دانشجوی میریم  اگر کسی کمک خاست بهم پیام بده
german.english.media;از فرایبورگ ✌️ ما گروهی داریم میریم
nikmotta99;از سوئیس ولی فکر نکنم بتونم برم بلیط خیلی گرونه منم دانشجو😢
mommy.dorrin;دمت گرم گلشید جان ...من یه ویدیو برات می‌فرستم دوست داشتی شیر کن
mehrabaninew;اگر همه کسانی که ساکن آلمان هستند ایمیل بزنن یا زیر پست آخر قطار آلمان از طریق کامنت تقاضا کنن مطمئنم رایگان میکنند چون برای اوکراین انجام دادن.
narges_ranjbarsari;ایتالیا. بریشا
zariikazemii;❤️
_maahtaa;@thatboyshahin @yasaman_elmii  @soheil_jp @shirinegh @pourya_sfr
aidaam_2020;من بچه کوچیک دارم نمیتونم برم ولی حاظرم تو هزینه کمک کنم
massy251;"ما همه قرارای روز شنبه رو کنسل کردیم که بتونیم جزئی از این کل باشیم!💪🏽
#مهسا_امینی"
baran.__.baranii;👏👏👏❤️❤️❤️❤️
aidaam_2020;@shafiansanaz منم از اروپا حاظرم کمک کنم چون بچه کوچیک دارم نمیتونم برم
somayeh_ghenaatian;ما اتوبوس میگیرم از جنوب آلمان ميريم
mehrabaninew;@mehrabaninew گلشید جان برات فرستادم لطفا استوری کن پست آخر راه آهن آلمان و متن کامنت خیلی موثره روی تصمیمشون
ako_salman_;❤️💜🫂
negin_baghdadchi;😍👏دمتون گرم
ma_asemaneabi;دانشجو ایتالیام ماشین ندارم . رم
hasti_hanna;مرسی گلشید عزیزم دمت گرمممم🙌🏻❤️❤️❤️#mahsaamini
milad_khajezade;دمتون گرم هرجای اروپا هستید یه روز ارزششو داره برای هموطنانمون وقت بذاریم ، راهی نمونده تا آزادی
milad_khajezade;@mommy.dorrin بفرست من شیر میکنم
milad_khajezade;👏👏👏
milad_khajezade;@german.english.media 👏👏
milad_khajezade;@yek_gane1996 👏👏
iamniloo96;کسی از اشتوتگارت یا دوسلدورف میره؟
lotfinikoo;گلشيد جون چند تا بچه هاي توييتر تقبل كردند هزينه بليط رفت و آمد تعداد محدودي از بچه ها رو بدن. اينم لحاظ كن!
helia_salimii;ما از کلن میریم 🙌
mariya.6688;مرسی گلشید جان مرسی😢😢
afsaneh_glmkn;#mahsaamini ✌️
milad_khajezade;@melika_anil بابت چی ؟
