username,text,likes,created_at
maysam_majidi_4,عه آخ جون 😍😂,1,"3/22/2022, 9:01:28 AM"
moti.h_bu,"من مطی اَم «مطهره». دوماه دیگه ۲۷ سالم میشه. درسم سه سالی هست تموم شده و الان توی فروشگاه کارمند هستم. رشتم بیوتک بوده و کارم فعلا به رشتم ربطی نداره آنچنان. 
اهل بوشهرم و ساکن همدان
بعد از بالا و پایینهای زیاد، بالاخره زندگی مستقل خودم رو شروع کردم. همونطور که مشخصه، شخصیت متکی به خود دارم. رابطه ای که میخوام، دوست دارم در چارچوب احترام و پذیرش باشه اینکه خوب صحبت کنیم از افکار و احساسمون و خوبتر شنوای حرف همدیگه باشیم. خنده، ماجراجویی، تنوع و گشت و گذار و اکتشاف رو عاشقشم.هم خوش اخلاقم هم گاهی جدی.هم پرشورم هم یه جاهایی خجالتی  هم زبون دارم هم یه جاهایی مظلوم:)
دنبال رابطه ازدواجی نیستم فعلا چون هنوز در حال ساختن آیندمم. از یه رفیق و همراه که دغدغه هاش به من نزدیک باشه یا حتی شبیه باشه، بیشتر استقبال میکنم« اگر ساکن همدان  باشه که چه بهتر» چون در یک مسیر بودن، باعث میشه به دو طرف خوش بگذره و مهمتر از اون فکر میکنم که باعث رشد میشه. عیدتون مبارک و ممنون یلدا جان. روزگارتون پرتلاش و پر از رضایت🌿",54,"3/22/2022, 9:01:11 AM"
bahar_delk,سلام..کامنت میگذارم؛  قربه الی الله😁.. 24 سالمه و اهل اهواز هستم... در کل ادم ارومی هستم اما پیش کسانی که دوستشون دارم به شدت شلوغم...شاغلم... بیرون رفتن و در سفر بودن رو دوست دارم و به خونه موندن ترجیح میدم..یکی باشه از راه دورم نباشه که هر موقع خواستیم بستنی قیفی بگیریم و قدم بزنیم و قدم بزنیم و قدم😁...(ترجیحا قبل اردیبهشت پیدا بشه که بستنی تو اهواز اون موقع زود ذوب نشه😅).. عاشق فیلم های ژانر اکشن و ترسناک هستم🍃دارم کالیمبا زدن رو به طور اصولی یاد میگیرم و عاشق نواختنم.. با شخصی که اهل دود و دم باشه و یا سنش از من خیلی بیشتر باشه، خوشبختانه یا متاسفانه نمیتونم ارتباط بگیرم..در پی رابطه سالم هستم... پیجم فیکه به دلایلی که همه میدونیم...,20,"3/22/2022, 9:00:25 AM"
najmeh_jahromi_65,💙💙,1,"3/22/2022, 9:00:18 AM"
ferdos.zn,"شکستن دل موهبت است
شکستن دل، شکستن کوزه در دریاست
شکستن کوزه در دریا
دریا را به مهمانی کوزه میبرد💫زندگی موهبت است. قدرش را میدانم.",1,"3/22/2022, 8:59:47 AM"
rezaee_bahar_25,سلام من هم روم نمیشه بنویسم فقط سنم میگم ۴۲ معلم هستم,49,"3/22/2022, 8:59:17 AM"
marjaan_alz,@hedie.tajerbashi 😁کام آن,2,"3/22/2022, 8:59:04 AM"
hotel_yankee07,سلام و درود،عیدتون مبارک،جدا از این ایده ی قشنگ این پستهای دیت یابی،از جسارت شما،از رفتار جسورانه خیلیا واسه ایجاد تعامل در دنیای مجازی،از احساس مسولیت شما لذت میبرم واقعا،خیلی کوتاه و مختصر،حسام،۳۰،تهران،کارمند،مهندسی هوانوردی خوندم،از دنیای تعاملی با آدمهای امن و باکیفیت جامعه حس خوبی میگیرم،از مراوده با افرادی که باعث پیشرفت و سکوی پرتاب همدیگه اند خوشحال میشم،تعاملی ک بر اساس توجه،تعهد و صمیمیت و عشق باشه…..,73,"3/22/2022, 9:03:04 AM"
alexi.roni,توکل به خدا ، ساکن استان زنجانم ، سی و دو سالمه ، شوخ طبعم ، علاقه به غذا و آشپزی و موسیقی دارم ، شغلم آزاده ، مدرکم لیسانسه ، دنبال یه دختر ورزشکار یا تحصیلگرده و شاغل با قد بالای صد و شصت و نه هستم که ساکن استان زنجان باشه ، یا راضی به ازدواج و سکونت توی استان زنجان باشه ، عقل و احساساتم رو در جای خودش کامل استفاده میکنم و منطقیم,11,"3/22/2022, 9:02:35 AM"
elham.alipur,👏👏,1,"3/22/2022, 9:02:31 AM"
