username;text
_.herdaughter._;یلدااااا چه کتونیات قشنگههههخخ❤️
sara23sh;😍👏
mina.roomina;من چرا فکر میکردم هم قدین 😁
miveh_khoshke_hanami;😍❤️
hosnaalipour;ای جان اخه چقدر شما دوتا قشنگین
maryam_khodka;I admire you❤️❤️❤️
paria.ahmadi.2002;چقد قدتون کوتااااااس😮😮😮😮
rezaeemohsen1991;❤️
mahsa_2000s;❤️اصفهان❤️
faezeh.mohammadib;ششم👌🏽😁
somi.dehghan;من منتظر خوندن‌ کامنتهام فقط
roqi_659074;😍😍😍
zahra_ghasemi_arch;عزیزم یلدا 😍
dailyofme;@paria.ahmadi.2002 کاش عوض این حرفت بگی، چقدر بهم میاید، یاد بگیریم در مورد چیزهای که به ما ربط نداره نظر ندیم
mahin.sharifii;قربون شکل ماهتون 😘😘♥️♥️
mhs.mrzbn;چیدر شما دوتا به هم میاید 😍😍😍😍
farzane__bm;@paria.ahmadi.2002 چه نگاه غم انگیزی بین این همه حس خوب این عکس 👎
mohammadsabetiii;@paria.ahmadi.2002 اشکال نداره ولی درک بلندی نسبت به زندگی دارن و این مهمه
yaldarta;@mahin.sharifii 😍😍😍😍
yaldarta;@maryam_khodka 😍😍😍😍
psy.yaldayalan;این مدل پستاتون خیلی خوبه ، لااقل آدما هدفمند تر کیس مورد نظرشون رو پیدا میکنن ، حتی اگه یکی دونفر از ماهم اینجا بتونیم آدمی که باهمون هماهنگ هست رو پیدا کنیم یعنی شما لطف بزرگی کردید
maahbanoo;متاهلای جمع ظرف تخمه‌هاتون رو بیارید مشغول شیم😂😂
yaldarta;@_.herdaughter._ مرسی عزیزم
springjourney;@paria.ahmadi.2002 واقعا چجوری اینجوری حرف میزنین😮😮
_.mrymgoli;خیلی قشنگید شما 🥰❤️
yaldarta;@hosnaalipour 😍😍😍
yaldarta;@psy.yaldayalan 👏👏
yaldarta;@mhs.mrzbn ❤️❤️
yaldarta;@_.mrymgoli 😍😍
zohreh_yousofi_;میشه فقط بگم قربون جفتتون❤️😍
farnaz_noroozali;@paria.ahmadi.2002 چرا فکر کردین که این نظرتونو باید کامنت کنید؟!ا
ngin.kianirad;حس میکنم نیاز به دوستِ دختر دارم کسی که از خودم بزرگتر باشه و شاد و خلاق و کتابخون و تلاشگر.و فعلا نیاز به رابطه دیگه ایی ندارم .
fereshte.n21;😂😂
mahsaa_talebii;من دیگه سنی ازم گذشته حال و حوصله ندارم، خودتون اگه اصفهان هستید و دنبال دختر پرانرژی و مهربون و خفن می‌گردید، خودتون بیاین پیدام کنین 😂 🤪
springjourney;هی پست دیت میذاری هی میگم کاش متاهل نبودم 😂@raminefathi
hdis_kh68;تشکر ک ب فکرمونی☺️❤️😍
milaad_26;اخ اخ اخ چه کامنتایی بخونیم😂😂😂
yaldarta;@maahbanoo 😂😂😂
setareh_ir;چقدر بهم میایید چقد جیگرید شما😍😍😍😍😍
fitlady_pari;سلام. متولد ۶۷ هستم و در مشهد زندگی می کنم. کامپیوتر خوندم. علایقم موسیقی و طبیعت گردی و کوهپیمایی و دوچرخه سواری هست. از تفریحات سالم لذت میبرم . سعی می کنم آدم شوخی باشم.
yaldarta;@zohreh_yousofi_ 😍😍😍
elnazzahediii;😍😍😍
mitra__bagheri1;. سلام من سیمینم🙋🏻‍♀️ انتها ایدی پیج اصلیم رو گذاشتم. چندماه دیگه میرم تو ۳۴ سال. اهل بازی، دور همی، فیلم، آموزش، عشق و حال، سفر، مشروب، ورزش و… اصولاً آرومم و روی خودم خیلی کار میکنم. پر انرژی هستم. از جدل دوری می‌کنم و تو صلح به سر میبرم. هدف دارم و براش تلاش میکنم. کار بلدم و تقریبا موفق. یه شرکت کوچیک دارم. مهربونم، به جاش با گذشتم. به اخلاقیات احترام می‌ذارم.  اما توقعی که از طرف مقابل دارم: حدود سنی خودم باشه. تفریحات خیلی محدود نداشته باشه و دنبال تجربه جدید باشه. ورزش کنه و از اینهایی نباشه که مدام تو طول روز ولو میشن روی تخت و کاناپه هدف داشته باشه، تو مسیر هدفش باشه. حتماً مستقل از خانوادش باشه و نسبت به سنش شرایط مالی خوبی داشته باشه. دروغ نگه، از اول روک راست باشه تا وقتمون هدر نره اگه به درد هم نمیخوریم. اهل بحث‌های الکی نباشه و تفکر نقاد بلد باشه. دنبال به روز بودن و یادگیری باشه. و بدونه عشق و حال زیادش خوبه😊 ظاهر ظاهر خیلی برام مهمه. خسیس نبودن خیلی برام مهمه لطفاً اگر اکثر شرایط بالا رو داشتی و منم بنظرت اوکی بودم پیام بده. در غیراینصورت وقت گرامی‌ت رو هدر نده دوست عزیز🙏🏼 ایدی اینستاگرام @simin__khademiyan
