username,text
_nargol,"به به چه پست خوبي 😍
من تهرانم و خيلي دوست دارم يه گروهي باشيم كه تور هاي دو سه روزه بريم باهم 🌱"
sona_fz,@rana_fz 🙏👌
niyoosha_yekta,وای فقط پاراگرافی که درباره علت انتخاب عکس گفتید خدایا😭چقدر قشنگید آخه:>
yaldarta,@fatemehmussavi.life 😂
_aatenaa_,@sadafmasnavi  چى از اين بهتر 😊
hosseinhooshyar,چه کپشن خوبی 👌 اصلا در همه ی موارد باید رعایت کرد ، رفاقت و خانواده و کاسبی نداره
lili_daily_life,عالیه که😍😍😍 من تهرانم.. علاقه مند به کافه گردی و تئاتر و سینما و کنسرت و .... خیلی دوست دارم یه گروه پایه داشته باشم تمام اینا رو کنار هم تجربه کنیم
yeganehrajaei,سلام، اسم من يگانه هست😍 ٣١ سالمه و ساكن استانبولم، عاشق تجربه دوستي هاي متفاوتم،
_saeedel,ما از رفیق هیچ خیری ندیدیم.شمام نگردید
a_m__a1991,چقدر متقاضی رفاقت زیاده🧐
arghavan_alv,ارغوان ۲۴، شاغل، شیراز، اهل گشتن و طبیعت گردی و خوش‌گذرونی، پایه شوخی و خنده، اهل دود و شراب نیستم، کاری به تفکرات مذهبی آدما ندارم، آدم متعصب خط قرمزمه.
b0a0h0a0r,من بهار هستم هانوفر زندگی میکنم، دوستای باحالی دارم اما از آشنا شدن با آدم های جدید هم خیلی لذت میبرم. معمولا تنها کتاب میخونم و پادکست گوش میدم، اهل ورزش هستم و از این که رفیق های ورزشکار پیدا کنم خیلی خوشحال میشم 💪🏼😊
mahboubeh.ghadimi,سن و مجرد یا متاهل بودن مهمه به نظرم 😊
samaneh__karimian,دنبال ی رفیق پایه ام محدوده غرب تهران که عصرها پناهگاهی باشه برای ی چای خوردن و غیبت و بزن و برقص، شاغلم و متاهل عاشق پیاده روی کله سحرم اگر پایه همراهی باشه چه بهتر. آخر هفته ها میتونیم دورهم جمع بشیم و میزبان باشم براشون و بساط قابلمه پارتی براه کنیم.
fatima.t1985,سلام. من فاطمه هستم. روانشناسی خوندم. حیطه کاریمم روانشناسی هست.
